G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.03998,0.00067486,-0.0090764,-0.34438,-0.00065306,0.15507,8.42E-03,2.23E-03,-0.013083,-0.019987,Imbalance
0.043028,0.058806,-0.037454,0.41158,0.064417,0.16129,9.04E-03,3.93E-03,-0.012754,-0.038399,Imbalance
0.039974,-0.010551,0.094603,-0.26428,-0.029164,0.15588,-7.71E-03,3.82E-03,-0.014727,-0.061413,Imbalance
0.043696,0.066859,-0.1193,0.49786,0.065355,0.16137,-4.24E-03,2.89E-03,-0.015056,-0.02722,Imbalance
0.042624,0.028758,0.12269,-0.29358,-0.017552,0.15931,4.58E-03,3.29E-03,-0.019001,-0.009467,Imbalance
0.020208,0.067848,-0.1204,0.36983,0.043029,0.13881,4.40E-03,1.98E-03,-0.022617,-0.012426,Imbalance
0.018988,0.051234,0.11079,-0.085668,0.021878,0.13766,1.09E-03,3.62E-03,-0.022289,0.001383,Imbalance
0.018122,0.017012,-0.065029,0.065046,0.022354,0.13498,-1.40E-03,5.00E-03,-0.022946,-0.021302,Imbalance
0.014477,0.067244,0.038017,0.25984,0.052092,0.13449,1.51E-03,2.91E-03,-0.023275,-0.026891,Imbalance
0.013187,0.017474,0.029815,-0.090172,-0.02041,0.13084,-6.56E-05,1.57E-03,-0.02459,0.000725,Imbalance
0.012718,0.089207,-0.068217,0.44875,0.063088,0.133,2.38E-03,2.73E-03,-0.026234,0.039521,Imbalance
0.014663,0.01165,0.1084,-0.33504,-0.02366,0.13115,4.24E-03,3.77E-03,-0.02722,0.000068,Imbalance
0.018392,0.059127,-0.11899,0.48084,0.075144,0.13518,-4.66E-03,3.55E-03,-0.030837,-0.022617,Imbalance
0.01655,0.017892,0.15516,-0.16138,0.0041641,0.13489,-2.42E-03,2.86E-03,-0.034124,-0.010124,Imbalance
0.017378,0.035809,-0.11297,0.36094,0.038713,0.13602,7.64E-03,2.70E-03,-0.038399,0.011246,Imbalance
0.017281,0.049744,0.1022,0.007692,0.01033,0.13787,2.67E-03,3.33E-03,-0.039056,0.006972,Imbalance
0.023898,0.029015,-0.037235,0.014142,-0.01707,0.13909,-3.45E-03,3.79E-03,-0.040042,-0.007494,Imbalance
0.022788,0.095218,0.0071326,0.28647,0.032829,0.14132,5.60E-05,2.92E-03,-0.043659,-0.006836,Imbalance
0.023243,0.01305,0.065763,-0.29599,-0.048806,0.1387,2.01E-03,3.13E-03,-0.043659,0.002698,Imbalance
0.026728,0.088558,-0.082723,0.4608,0.045727,0.1463,2.19E-03,2.88E-03,-0.040371,0.016178,Imbalance
0.026798,-0.035711,0.11585,-0.31283,-0.070579,0.14107,2.05E-03,3.69E-03,-0.037083,0.006972,Imbalance
0.026144,0.052178,-0.12234,0.42992,0.017222,0.14109,1.38E-03,4.12E-03,-0.035768,-0.00848,Imbalance
0.025239,0.068496,0.13914,-0.22388,-0.035208,0.14209,1.75E-03,2.19E-03,-0.033467,0.01289,Imbalance
